,original_mean,synthetic_mean,difference_%
age,73.06896551724138,70.24137931034483,-3.87
blood_pressure_systolic_mmHg,109.13793103448276,109.0,-0.13
blood_pressure_diastolic_mmHg,75.41379310344827,76.13793103448276,0.96
cholesterol_mg_dL,191.13962962962964,181.0207142857143,-5.29
hdl_cholesterol_mg_dL,50.96618518518518,52.29920689655172,2.62
ldl_cholesterol_mg_dL,119.63392592592594,114.0563448275862,-4.66
glucose_mg_dL,85.8367857142857,89.70250000000001,4.5
heart_rate_bpm,78.03448275862068,73.75862068965517,-5.48
